[WARNING] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.495.130 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.847.300 [MINDCONVERTER] Line 425 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.850.192 [MINDCONVERTER] Line 428 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.853.096 [MINDCONVERTER] Line 431 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.856.051 [MINDCONVERTER] Line 434 start converting API: torch.cat
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.858.931 [MINDCONVERTER] Line 437 start converting API: torch.cat
[WARNING] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.863.597 [MINDCONVERTER] Line 458: found unsupported API: torch.sigmoidMaybe could convert to mindspore.ops.operations.Sigmoid.
[WARNING] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.864.187 [MINDCONVERTER] Line 458: found unsupported API: torch.sigmoidMaybe could convert to mindspore.ops.operations.Sigmoid.
[WARNING] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.864.754 [MINDCONVERTER] Line 458: found unsupported API: torch.sigmoidMaybe could convert to mindspore.ops.operations.Sigmoid.
[WARNING] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.865.386 [MINDCONVERTER] Line 458: found unsupported API: torch.sigmoidMaybe could convert to mindspore.ops.operations.Sigmoid.
[WARNING] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.865.962 [MINDCONVERTER] Line 458: found unsupported API: torch.sigmoidMaybe could convert to mindspore.ops.operations.Sigmoid.
[WARNING] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.866.583 [MINDCONVERTER] Line 459: found unsupported API: torch.sigmoidMaybe could convert to mindspore.ops.operations.Sigmoid.
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.900.910 [MINDCONVERTER] Convert success. Result is wrote to /home/zixiao.wang/dis-code-2207-semi-mindspore/output/u2netfast.py.
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.901.675 [MINDCONVERTER] Convert report is saved in /home/zixiao.wang/dis-code-2207-semi-mindspore/output/report_of_u2netfast.txt
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.901.768 [MINDCONVERTER] MindConverter: conversion is completed.
[WARNING] MI(1528401:140653788129088,MainProcess):2022-08-09-20:46:02.877.469 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1528401:140653788129088,MainProcess):2022-08-09-20:46:04.331.645 [MINDCONVERTER] Script file is /home/zixiao.wang/dis-code-2207-semi-mindspore/basics.py
[INFO] MI(1528401:140653788129088,MainProcess):2022-08-09-20:46:04.331.728 [MINDCONVERTER] Start converting /hom./zixiao.wang/dis-cod.-2207-s.mi-mindspor.basics
[INFO] MI(1528401:140653788129088,MainProcess):2022-08-09-20:46:04.351.636 [MINDCONVERTER] Convert report is saved in /home/zixiao.wang/dis-code-2207-semi-mindspore/output/report_of_basics.txt
[WARNING] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.190.023 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.625.000 [MINDCONVERTER] Script file is /home/zixiao.wang/dis-code-2207-semi-mindspore/main-u2net-full-fast-1024-m.py
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.625.085 [MINDCONVERTER] Start converting /hom./zixiao.wang/dis-cod.-2207-s.mi-mindspor./main-u2n.t-full-fast-1024-m
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.777.284 [MINDCONVERTER] Line 81: start converting function define_basic_elems()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.782.700 [MINDCONVERTER] Line 107: start converting function train()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.805.662 [MINDCONVERTER] Line 248: start converting function valid()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.832.298 [MINDCONVERTER] Line 368: start converting function label()
[INFO] MI(1550488:139720900962112,MainProcess):2022-08-09-20:57:35.845.774 [MINDCONVERTER] Line 616: start converting function mae_torch()
